Date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2018-4-1;0.0;0.0;0.0;0.0;0.0;0.5718;3.3915;3.093;6.8802;5.8062;7.4094;4.9044;3.7188;7.8204;11.1222;12.1905;2.9871;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-2;0.0;0.0;0.0;0.0;0.0;2.9949;10.8057;19.5366;26.4177;31.3722;33.7869;33.6501;31.3725;26.877;16.1115;10.3254;5.3607;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-3;0.0;0.0;0.0;0.0;0.0;2.4027;9.1797;17.7645;25.2402;30.4059;33.1407;34.1184;31.7178;27.2871;21.3045;12.9807;3.7983;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-4;0.0;0.0;0.0;0.0;0.0;3.1311;10.0878;18.3087;25.5585;30.6429;31.7277;33.102;30.1914;23.7522;20.3364;12.8769;5.2248;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-5;0.0;0.0;0.0;0.0;0.0;3.6693;10.9905;19.0035;25.7922;30.2541;32.6802;33.3924;30.3468;20.8482;20.4018;12.9114;5.8449;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-6;0.0;0.0;0.0;0.0;0.0;2.4111;5.3052;6.756;10.3701;6.7236;4.6818;3.8916;7.6824;6.69;16.7469;13.1889;3.7944;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-7;0.0;0.0;0.0;0.0;0.0;3.252;11.2626;19.4748;26.7939;19.6227;12.515999999999998;25.5063;18.165;15.4857;2.301;9.9957;1.8168;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-8;0.0;0.0;0.0;0.0;0.0;0.5364;1.443;3.4368;4.1472;8.5434;9.1164;6.1608;4.3698;3.363;2.0886;1.6356;0.8502;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-9;0.0;0.0;0.0;0.0;0.0;0.1131;0.7506;1.5066;7.398;4.2042;4.7076;4.6512;4.6962;4.0482;1.4598;1.5564;1.1916;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-10;0.0;0.0;0.0;0.0;0.0;0.1464;1.1064;2.8218;5.25;8.0244;5.9556;5.2326;3.804;3.1919999999999997;2.3976;2.5356;4.0161;0.1416;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-11;0.0;0.0;0.0;0.0;0.0;0.8418;2.8674;4.05;6.8226;6.7829999999999995;5.6394;5.9142;4.9374;4.635;4.038;3.9858;2.7657;0.1074;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-12;0.0;0.0;0.0;0.0;0.0;1.1838;3.471;7.047000000000001;18.4365;16.4607;13.443;17.0601;20.6172;14.3535;1.446;4.4898;2.3784;0.1374;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-13;0.0;0.0;0.0;0.0;0.0;3.9093;13.1223;21.3918;25.0443;21.0816;28.1991;33.1053;33.5175;29.028000000000002;22.046999999999997;15.2508;6.7893;0.3648;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-14;0.0;0.0;0.0;0.0;0.0;1.0038;2.1048;2.1456;3.4038;2.4186;3.8364;6.9042;8.318999999999999;5.7378;1.7028;2.6010000000000004;2.1336;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-15;0.0;0.0;0.0;0.0;0.0;5.3754;12.7782;20.4141;27.2361;33.3729;27.921;29.1909;11.2596;14.9625;4.0836;3.6522;0.5286;0.4122;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-16;0.0;0.0;0.0;0.0;0.0;4.4289;5.1966;10.6725;26.2404;33.7359;35.8845;31.340999999999998;28.4604;9.7962;8.4057;11.0703;3.7434;0.48;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-17;0.0;0.0;0.0;0.0;0.0;6.7698;15.2691;23.7912;31.1574;35.8575;38.0721;22.1193;9.7062;14.0463;16.9671;13.0986;4.9899;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-18;0.0;0.0;0.0;0.0;0.1731;0.2418;4.0344;6.7044;10.0743;7.5468;20.0406;24.7311;29.9664;22.1481;16.455;9.9315;7.0659;0.6522;0.0;0.0;0.0;0.0;0.0;0.0
